BULKLOAD data/sortedData_3_10_1000.txt 1000
QUERY 184803526 412776091 1424268980
QUERY 894429689 364228444 1947346619
QUERY 1714636915 1957747793 424238335
QUERY 32321825 1184812754 1642661448
QUERY 1953161956 830365981 2053232475
QUERY 1876855542 1069755936 1237379107
QUERY 1911759956 749241873 137806862
QUERY 1077683174 1490549207 38649718
QUERY 1359512183 480298490 1398295499
QUERY 224048977 253674535 1820965014
QUERY 1330573317 603570492 1687926652
QUERY 1550101877 752704313 1872666833
QUERY 896925393 455843485 827385948
QUERY 28264029 311269559 1600206898
INSERT 1124734562 530406424 482417719
INSERT 1926411641 1812718902 505593010
INSERT 1587992726 1024027583 198628789
INSERT 2021303708 1891342723 1374600938
QUERY 1683932587 298167279 1514620094
INSERT 649785905 1259577690 1881049613
QUERY 1403938270 1384079421 2115227667
QUERY 1189641421 1025202362 1350490027
QUERY 1911759956 749241873 137806862
QUERY 2042010569 695258232 1237979969
QUERY 428903682 617909211 1412277685
QUERY 330546620 1279820114 356228371
QUERY 728149010 1508976505 1160063179
QUERY 1698487330 272312086 359147515
QUERY 932026304 496060028 828388027
QUERY 67874133 240854387 1561812722
QUERY 978610417 1101457716 22800096
QUERY 1560890244 657103124 1386510139
QUERY 428903682 617909211 1412277685
QUERY 900874211 1750159999 891528784
QUERY 42999170 982906996 135497281
QUERY 1502386251 2128349144 1045069410
QUERY 660916487 67974802 573556837
QUERY 1967513926 1365180540 1540383426
INSERT 573666704 933596911 674402557
QUERY 756898537 1734575198 1973594324
QUERY 2117303605 529302443 418646579
QUERY 1256273378 129834447 177332700
QUERY 2125023787 550804899 1651675551
QUERY 1719650353 883799426 1286966948
QUERY 671068506 76277107 338346092
QUERY 1569115921 1777288820 1756098480
QUERY 312186354 815774123 2016408437
QUERY 86086317 1987106312 1219933931
QUERY 364531492 914600930 2085308422
QUERY 1916237892 1565306616 2054306629
QUERY 1189641421 1025202362 1350490027
QUERY 573666704 933596911 674402557
QUERY 959658925 805251743 1198720172
QUERY 1091714937 1364180570 1281944976
QUERY 1564003050 99885196 2081362124
QUERY 304089172 1303455736 35005211
QUERY 1588695568 1155465115 535286141
QUERY 483689685 567304789 1360613073
QUERY 844169939 1033206202 181226513
QUERY 986478257 1485511804 1650994571
QUERY 1189641421 1025202362 1350490027
QUERY 1245036421 877068972 30387226
QUERY 1390865725 65120356 1731190952
QUERY 118993446 73673339 1663568111
QUERY 1597141723 1981208324 207026272
QUERY 888482339 1209379174 2037335344
QUERY 1540846267 858829294 1396342013
QUERY 1587992726 1024027583 198628789
QUERY 942581876 562390279 2025251990
QUERY 1276673168 1411328205 2137390358
QUERY 1143565421 981914693 1375179334
QUERY 375444584 1989200801 2092720083
INSERT 730199492 1154615609 309766496
INSERT 1702022939 1850612763 1316505735
QUERY 1656478042 1131176229 1653377373
QUERY 1631596366 1308581515 354367395
QUERY 885799631 1314218593 1281830857
QUERY 1017565625 1131761079 1076919591
QUERY 885799631 1314218593 1281830857
QUERY 177332700 305564045 1651574882
QUERY 336465782 861021530 278722862
QUERY 1412017135 1390387708 918483162
QUERY 643762327 2044082050 2135693054
QUERY 306851320 707184680 2145854098
QUERY 2131058752 493886463 1242754098
QUERY 1508976505 1160063179 1337856142
QUERY 219994425 307571472 256804978
QUERY 1010764797 454416748 2068224547
QUERY 1558581086 1268409912 673365159
QUERY 1704572553 1482841197 592962932
QUERY 189409560 1268126901 742949164
QUERY 1967513926 1365180540 1540383426
QUERY 1371570003 777635325 816976784
QUERY 1101513929 1801979802 1315634022
QUERY 1457880381 461851014 505185185
QUERY 1773595097 554602408 1048938329
QUERY 1047372231 1707746139 1372261796
QUERY 808808585 1353668775 649022765
QUERY 682736626 1916237892 1565306616
QUERY 719885386 1649760492 596516649
QUERY 1450956042 1941690360 410409117
QUERY 487073847 1750829613 1693485026
INSERT 1376941062 100603786 1408960629
QUERY 1793256508 993683397 2026929416
QUERY 1233114544 1638253540 263043320
QUERY 31797565 456651794 80329499
QUERY 1578716908 62299853 2000033062
QUERY 1098193842 1597848432 574596534
QUERY 934618834 2078480869 1244453596
QUERY 1456748696 1989352324 1813511382
QUERY 233665123 2145174067 468703135
QUERY 1646478179 1725138377 1500474762
QUERY 1101513929 1801979802 1315634022
QUERY 256363941 313823293 1940022924
QUERY 885799631 1314218593 1281830857
QUERY 1853101996 2044554163 1631207466
QUERY 940472515 1891066487 382926234
QUERY 1851445950 551008693 896551633
QUERY 1391927494 1051402293 1781485213
QUERY 95275444 1974571475 1501830323
QUERY 1605894428 1789366143 1987231011
QUERY 1587992726 1024027583 198628789
QUERY 2066990816 1312712376 1542537541
QUERY 2115115464 636600769 1950148346
QUERY 353673391 1438865740 1776088411
QUERY 1665204916 1707056552 564325578
QUERY 1111800030 1984498433 917609663
QUERY 855636226 1749698586 1469348094
QUERY 1594769883 1817049764 209473567
QUERY 1089966067 2141153674 1607500335
QUERY 96617457 566112132 503615949
QUERY 1911759956 749241873 137806862
QUERY 635723058 1369133069 1125898167
QUERY 936621968 1312313043 1803602255
QUERY 634172025 1322710936 75191653
INSERT 992277052 284665220 1998562957
QUERY 1385414639 952062949 577721120
QUERY 1902736997 556707205 309667127
QUERY 104665169 258219170 466647227
QUERY 1456139563 1564739221 1527793660
QUERY 1183912267 1538128223 1992055382
QUERY 1111088131 813465002 1077683174
QUERY 1750621862 1904251768 1579059895
QUERY 1569654968 1401422376 1318141009
QUERY 530406424 482417719 1163384280
QUERY 1518260757 2003980519 192048860
QUERY 1815983044 5631942 1475952280
QUERY 1613703163 861798817 269026234
QUERY 162403134 612203759 1138101281
QUERY 964445884 2118421993 1520223205
QUERY 399493245 1567022181 817572761
QUERY 628257755 991505661 654829090
INSERT 612816071 429363923 547772603
INSERT 1660038320 216272000 1243769942
QUERY 285830504 1855103807 856979759
QUERY 42999170 982906996 135497281
QUERY 1973521090 1173059560 1184622626
QUERY 1763794427 2059344234 1582152040
QUERY 1124734562 530406424 482417719
QUERY 421101832 688852786 2026478004
QUERY 95266356 755526127 1189914410
QUERY 408671759 1195945229 1443155027
QUERY 438485374 1798027458 315813605
QUERY 1865033882 1543678155 1840700573
QUERY 1267040926 1667250732 1788986238
QUERY 1702022939 1850612763 1316505735
QUERY 1820042348 2059643461 1530130017
QUERY 1189641421 1025202362 1350490027
QUERY 1961415139 136135018 1219377470
QUERY 869921280 167368542 251836754
QUERY 693550658 1818984200 619480878
QUERY 1494613810 1447267605 1369321801
INSERT 1681545190 1572255140 88639634
QUERY 1369893141 390848153 522971726
QUERY 1634296630 963964191 699045063
INSERT 2143493320 512976554 339980538
QUERY 914600930 2085308422 531900034
QUERY 40658094 132629780 1744161708
QUERY 576279545 349121784 1470796522
QUERY 1818084292 713355511 2067247035
QUERY 1304438548 2042830296 955798986
QUERY 1654844049 995097051 855320512
QUERY 649785905 1259577690 1881049613
QUERY 916768482 1268632557 145376088
QUERY 770833934 202019540 104221117
QUERY 1680687005 1090438014 428674782
QUERY 900104667 394709364 472131489
QUERY 521595368 294702567 1726956429
QUERY 138700754 1049546350 2134113236
QUERY 2057337242 543906158 339335164
QUERY 150203107 1054181467 926440376
QUERY 1805816260 1602182790 481387902
QUERY 1101513929 1801979802 1315634022
QUERY 859484421 1914544919 608413784
QUERY 1131884850 380390179 1992576590
QUERY 372315265 878777377 504038566
QUERY 394633074 983631233 1675518157
QUERY 388450127 915736906 101072999
QUERY 1906889260 113766839 111387570
QUERY 1683213486 141413008 1691635767
QUERY 510770136 1212220435 427778693
QUERY 257009719 266795367 1818150212
QUERY 202019540 104221117 1184726095
QUERY 1369520631 1665728802 327727208
QUERY 846942590 524688209 700108581
QUERY 1483332973 405201937 553918865
QUERY 1113331867 824722490 1267040926
QUERY 213952386 2042010569 695258232
INSERT 1725362297 297785900 1611336688
QUERY 234686974 1598048401 1537794114
QUERY 949784416 641450052 246088582
QUERY 423401433 1235238502 1194559277
QUERY 730199492 1154615609 309766496
QUERY 1191614946 2123987799 733628447
QUERY 774404628 1983827549 1981393799
QUERY 1661084821 1738394660 2067936271
QUERY 1896073990 954296984 1408347194
QUERY 1654435776 1975886384 1560307071
QUERY 607382700 644834684 220510539
QUERY 949784416 641450052 246088582
QUERY 327305250 435482362 1362243428
QUERY 1196153579 26416758 1719506853
QUERY 1254390769 959112711 133286977
QUERY 885799631 1314218593 1281830857
QUERY 1069774565 1804765595 1723705710
QUERY 1944216249 150203107 1054181467
QUERY 850377601 2032652302 71185160
QUERY 1172895038 1557686227 296082014
QUERY 573666704 933596911 674402557
QUERY 1510906527 473903566 13798878
QUERY 496612959 1076261902 446703183
QUERY 1137990260 637760029 406736335
QUERY 1517244564 450395738 1583274723
QUERY 1862292122 134591281 101323875
QUERY 346030096 1544899551 1893244856
QUERY 201345764 364196342 1970034225
QUERY 233665123 2145174067 468703135
QUERY 336465782 861021530 278722862
QUERY 2094258726 680634295 1703835733
QUERY 184803526 412776091 1424268980
QUERY 1211270210 1517244564 450395738
QUERY 1926411641 1812718902 505593010
QUERY 739068399 1929765404 560318023
QUERY 1438638589 1110980456 1213735047
QUERY 1218272784 1918258803 863043860
INSERT 1865033882 1543678155 1840700573
QUERY 149798315 2038664370 1129566413
QUERY 45299067 1206758863 1486235104
QUERY 135177290 461780768 363159161
QUERY 1198720172 1805613091 144874089
QUERY 1045069410 568637651 681928291
QUERY 1289547084 279121308 174515334
QUERY 304089172 1303455736 35005211
QUERY 1967513926 1365180540 1540383426
QUERY 1268126901 742949164 1675644664
QUERY 1810821955 1210997811 2018186733
QUERY 560413640 1171142496 457615859
QUERY 1026253510 1223207428 286713846
QUERY 1714636915 1957747793 424238335
QUERY 2058964125 2087479885 1691643253
QUERY 2087770711 1026201114 47830643
QUERY 399493245 1567022181 817572761
QUERY 1967513926 1365180540 1540383426
QUERY 1909443370 854155594 1656527645
QUERY 535297508 1526446286 1209597698
QUERY 1926411641 1812718902 505593010
QUERY 1001089438 1899058025 2077211388
INSERT 619480878 1856374729 899334107
QUERY 434492631 556939443 346804712
QUERY 87755422 889023311 1494613810
QUERY 172669440 1164465626 1934657902
QUERY 1059961393 2089018456 628175011
QUERY 1417988751 1901540637 202029501
QUERY 329370448 320401392 1201162069
INSERT 939882271 910053150 900205108
QUERY 1622838287 1617869388 1927454328
QUERY 1675644664 749217043 1655027572
QUERY 942581876 562390279 2025251990
QUERY 298125972 972605807 115206657
QUERY 573666704 933596911 674402557
QUERY 619480878 1856374729 899334107
QUERY 269365760 340606628 1502774186
QUERY 978128825 553574882 1022988865
QUERY 885799631 1314218593 1281830857
QUERY 510770136 1212220435 427778693
QUERY 1022089159 1626250262 1669679262
QUERY 674426555 639624893 1451163042
INSERT 1016499950 2052861120 1160475789
QUERY 1429841549 787660056 2010720737
QUERY 2021303708 1891342723 1374600938
QUERY 193088109 682900658 639138264
QUERY 76810012 2047140186 1945972417
QUERY 1186896499 1423524763 1303785506
QUERY 1943410399 1669411305 1781459970
QUERY 45299067 1206758863 1486235104
QUERY 2047140186 1945972417 442357055
QUERY 1057418418 995706887 1823089412
QUERY 1502386251 2128349144 1045069410
QUERY 358104524 900874211 1750159999
QUERY 1189641421 1025202362 1350490027
QUERY 1991241042 1827946632 610645107
QUERY 1656478042 1131176229 1653377373
QUERY 207621703 2106914653 1815209933
QUERY 1628846894 1138259617 139722835
QUERY 1511658082 1949378337 1367858053
QUERY 660260756 959997301 485560280
QUERY 751002780 1099358641 220071006
QUERY 521595368 294702567 1726956429
QUERY 1595930242 1367480709 198805545
QUERY 1187797756 707134463 486006071
QUERY 625728906 2138704485 243253491
QUERY 1611111544 112028656 2100598388
QUERY 1004642738 1793895841 587833102
QUERY 168021018 899633766 1914500838
QUERY 922802942 1954784284 1718930959
QUERY 1131352346 848934683 2124898138
QUERY 831083598 1142699356 1718500113
QUERY 859484421 1914544919 608413784
QUERY 568534702 434457257 1657262432
INSERT 80869451 97611886 1529695171
QUERY 281845289 1861853489 624486946
QUERY 431787582 204742850 1758781272
QUERY 1920703868 466747319 1904279192
QUERY 1475295657 1426608253 847915875
QUERY 1984313970 1004642738 1793895841
QUERY 1469543483 545343058 1511658082
INSERT 316554595 1418468232 12692331
INSERT 1700313522 1874545820 1206674446
QUERY 1638462029 390868264 2123016228
QUERY 1896236448 1127167744 959171794
QUERY 286983804 1779664872 1437046647
QUERY 437116466 1704365084 1176911340
QUERY 103822254 2026061770 1036869528
QUERY 612353198 1186994949 1450099355
QUERY 304089172 1303455736 35005211
QUERY 783368690 1102520059 2044897763
QUERY 865144369 1340321698 1440934303
QUERY 1727918107 850382211 1219015469
QUERY 1967513926 1365180540 1540383426
QUERY 892335526 245491186 2066990816
QUERY 111537764 338888228 2147469841
QUERY 149798315 2038664370 1129566413
QUERY 560318023 1855459967 2142919358
QUERY 1335757408 335531187 1791321676
QUERY 494220239 189258051 819599372
QUERY 1608112644 1238241306 1277970780
QUERY 2123987799 733628447 639286229
QUERY 1833469976 1123716509 1764756387
QUERY 356341138 1845299958 817482649
QUERY 1859563181 637438146 1029009428
INSERT 281276174 2146735658 2111060014
QUERY 783175739 1646824656 436359554
QUERY 619480878 1856374729 899334107
INSERT 764324635 114962507 952617546
QUERY 1498617647 669908538 1387036159
QUERY 1587992726 1024027583 198628789
QUERY 1255035368 715577216 1458757446
QUERY 407487131 2113903881 7684930
QUERY 126107205 159473059 1376035217
QUERY 1683932587 298167279 1514620094
QUERY 678800870 1091854097 317992893
QUERY 80869451 97611886 1529695171
QUERY 1746283858 885420959 1397208466
QUERY 42999170 982906996 135497281
QUERY 87755422 889023311 1494613810
QUERY 978610417 1101457716 22800096
QUERY 1776544874 1450967523 42186306
INSERT 2129768394 1134040403 150084506
QUERY 1725362297 297785900 1611336688
QUERY 625288549 1875638893 1501659818
QUERY 2006420005 397977904 305425913
QUERY 915989944 1277392187 991901004
QUERY 1014701101 593114526 2093506748
QUERY 2135693054 475853939 2026366796
QUERY 1227734017 1751062934 1180082199
INSERT 371591002 826782912 999416032
QUERY 570840516 1558581086 1268409912
QUERY 474960250 147775927 712786252
QUERY 2129768394 1134040403 150084506
QUERY 665636010 1403997111 20084148
QUERY 730199492 1154615609 309766496
QUERY 149798315 2038664370 1129566413
QUERY 896172326 1793891254 10604139
QUERY 364196342 1970034225 43695777
QUERY 885799631 1314218593 1281830857
INSERT 1255237575 1132205946 754963290
INSERT 1206266994 1420599300 1322633623
QUERY 475745488 1234644696 220282619
QUERY 483989693 32321825 1184812754
QUERY 184803526 412776091 1424268980
QUERY 2017461929 496612959 1076261902
QUERY 1267733606 1736214337 1898152167
QUERY 505631809 294124046 1927203630
QUERY 988506952 614340012 285830504
QUERY 573666704 933596911 674402557
QUERY 1632565483 1495749339 560711564
QUERY 66493503 1087638368 1212052176
QUERY 42999170 982906996 135497281
QUERY 730199492 1154615609 309766496
QUERY 487191794 2078175617 472562275
QUERY 1478633400 627200707 1492469147
QUERY 407487131 2113903881 7684930
QUERY 1231067850 687506457 843886978
QUERY 1931525347 475122431 690471744
QUERY 1091854097 317992893 1631418417
QUERY 1580744477 1661084821 1738394660
QUERY 63473287 186391879 991742780
QUERY 336728279 966488613 2022337363
QUERY 1648609 1712268428 1932874974
QUERY 52775474 296596980 896925393
QUERY 2133626771 1561006484 139536873
QUERY 939882271 910053150 900205108
QUERY 1691643253 1212534319 1162824071
QUERY 1456748696 1989352324 1813511382
QUERY 1656478042 1131176229 1653377373
QUERY 675161631 1242907571 1149677717
QUERY 1558349476 1656498187 1227734017
QUERY 885799631 1314218593 1281830857
QUERY 104852634 1814634316 1343457914
QUERY 866360494 1780295098 842198392
QUERY 1472713773 824272813 1662739668
QUERY 109967654 372758355 1855191614
QUERY 950615538 697054660 1508472944
QUERY 1017487483 1962928545 1858983422
QUERY 730199492 1154615609 309766496
QUERY 558410655 1239547247 1381672606
QUERY 87755422 889023311 1494613810
QUERY 184803526 412776091 1424268980
QUERY 889575205 1793039021 729972835
QUERY 1124311574 431530126 1421186593
QUERY 452825171 1435218189 1135771559
QUERY 28648726 2122533302 1588279465
QUERY 2146690120 276217690 115133608
QUERY 191520958 542090057 1265989390
QUERY 573666704 933596911 674402557
INSERT 524897797 1246322141 1379803375
QUERY 1607967721 2063762111 270617569
QUERY 1781882152 25701533 1293259316
QUERY 2129768394 1134040403 150084506
QUERY 1440458800 1514722040 116903580
QUERY 308424538 1259042831 1781804171
QUERY 266222407 99568484 609707131
QUERY 1926411641 1812718902 505593010
QUERY 360022300 1376941062 100603786
QUERY 1357242587 1270551295 460362196
QUERY 1728671166 503984129 415922256
QUERY 87755422 889023311 1494613810
QUERY 2129768394 1134040403 150084506
INSERT 1979629507 351748718 1350422715
QUERY 1865033882 1543678155 1840700573
QUERY 1998713308 1456575805 829774317
QUERY 201345764 364196342 1970034225
QUERY 859484421 1914544919 608413784
QUERY 320062251 1351777724 1211270210
QUERY 1891342723 1374600938 572132557
QUERY 1975402908 1935962074 2041824130
QUERY 1622197219 175821956 678006046
QUERY 1702022939 1850612763 1316505735
QUERY 1743768897 152059765 1844462197
QUERY 1241027172 1345554529 1008057661
QUERY 411266131 649162283 1541787377
QUERY 42999170 982906996 135497281
QUERY 1912802551 1550046828 184366026
QUERY 862372072 1051030530 1008620975
QUERY 1121147484 869439259 1767405991
QUERY 421101832 688852786 2026478004
QUERY 1535589735 713475737 1092059772
QUERY 486363501 127758874 1906423611
QUERY 415522325 1799560997 332238283
QUERY 932862806 1404515797 695748720
INSERT 22852617 55119204 120214107
QUERY 1241361591 136416008 1846162289
QUERY 42999170 982906996 135497281
QUERY 282723354 1076270887 589306240
QUERY 1304352949 13146790 107230151
QUERY 208591742 181010038 2036267705
QUERY 1196748250 1124220263 973294814
QUERY 1241258962 1584892936 675161631
QUERY 859484421 1914544919 608413784
QUERY 1967513926 1365180540 1540383426
QUERY 1731812679 617409831 1042254228
QUERY 2117923969 2023762697 959200313
QUERY 1206266994 1420599300 1322633623
QUERY 1968642166 1181738995 1827723200
QUERY 773748473 1527337001 1471690579
QUERY 849580744 1820432110 568534702
QUERY 752064835 1129707775 1741160450
QUERY 1487223193 584401425 67966707
QUERY 2091729405 1207774949 1437951605
QUERY 878786386 19063328 1833469976
QUERY 428903682 617909211 1412277685
QUERY 939882271 910053150 900205108
QUERY 149798315 2038664370 1129566413
