BULKLOAD Testcases/TC_3/sortedData_3_10_1000.txt 1000
QUERY 842257845 1035468630 1084365974
QUERY 884590459 1918713090 1430377247
QUERY 1750467441 1999630502 617708265
QUERY 1628843015 1176367178 1039974352
QUERY 970610666 211746160 1053605263
QUERY 1819114272 1672248171 907242393
QUERY 1464883656 1196667043 1715409830
QUERY 509199466 181543141 1527749692
QUERY 1339193439 879254244 1119256223
QUERY 1480715314 1691157397 2113333139
QUERY 2138729805 1486674725 1349684985
QUERY 449011377 904460652 857306277
QUERY 1252167783 1995961846 1546327829
QUERY 1117125078 1908080959 706211009
QUERY 1455301280 1880046225 1526809102
QUERY 498581677 251608234 185264501
QUERY 184414466 5117923 592035611
QUERY 922952082 1341226122 1803814285
QUERY 53467643 85711886 592067639
QUERY 18071733 1872784327 251749725
QUERY 1196611143 1910674315 1771907572
INSERT 1289999769 271434996 1540990542
QUERY 1726255044 1635659542 1123832684
QUERY 1715868295 1434275054 848096726
QUERY 504427364 171265815 679066279
QUERY 1982282814 1216641782 808565101
QUERY 490018747 282999573 902065334
QUERY 1900101012 950475700 1924481923
QUERY 840199617 487695434 295608289
QUERY 1419440973 182156875 1616648794
QUERY 847410117 1459189819 1599136956
QUERY 1156297986 1134409811 520024957
QUERY 610831255 1900884669 1102002987
QUERY 895410186 47637239 1739311530
QUERY 539956701 990051133 25702313
QUERY 1628843015 1176367178 1039974352
QUERY 539956701 990051133 25702313
QUERY 1042628781 161784745 774933741
QUERY 1245997331 170889777 742250049
QUERY 1152268350 1285141897 660448965
QUERY 1882241493 1002197875 1503710237
QUERY 885576348 1203776563 1085603958
QUERY 584001167 2110523025 2011130881
QUERY 2006317887 1027132170 578914954
QUERY 380227697 491287655 112258064
QUERY 971088528 952816892 1621140657
QUERY 134105974 82660919 1546548140
QUERY 884590459 1918713090 1430377247
QUERY 278374611 358834705 1045734519
INSERT 1804382433 1241054477 172329068
QUERY 1199461238 482364231 42576903
QUERY 533864558 68091420 1141098179
QUERY 2093915071 721614279 1015053178
QUERY 1097714098 1583454706 724584074
QUERY 2067517269 426670319 146514409
QUERY 328092929 1284971934 517150188
QUERY 970610666 211746160 1053605263
QUERY 909593817 755044023 410631022
QUERY 1526991901 1293953988 615504313
QUERY 2003973273 314414243 346817928
QUERY 1501661457 1817794271 672896699
QUERY 1368422569 1042547505 1431561145
QUERY 1759654074 2133984004 835793404
QUERY 970610666 211746160 1053605263
QUERY 1320708603 1084117083 2010961185
QUERY 535086236 268713074 1655883540
QUERY 1819114272 1672248171 907242393
QUERY 822116660 1554182528 658561306
QUERY 118110276 1413883140 1094929505
QUERY 1625569210 2142155462 1840908679
QUERY 1283295504 1263408834 1928502472
QUERY 832338945 217122562 1378299903
QUERY 1062750248 262265677 1137988968
QUERY 87505956 1234549821 1285688712
QUERY 1865385140 2064913044 1420769841
QUERY 657045134 1039293049 1049562110
QUERY 308061787 1604888439 1118664375
QUERY 1252779959 801996611 2055079028
QUERY 948184105 630710324 1764711383
QUERY 1900101012 950475700 1924481923
INSERT 2108851734 306331371 1395161339
QUERY 1312590736 556711915 792360674
QUERY 509199466 181543141 1527749692
QUERY 484952986 1996043414 814821162
QUERY 2067601121 1689304466 1753642874
QUERY 219006870 203161934 452411819
QUERY 1651049369 1850926513 1064962727
QUERY 312640418 748359529 34007100
QUERY 826367775 752560243 371344846
QUERY 1383097583 1540626310 1356058539
QUERY 1221957453 1838839963 1303103335
QUERY 1628843015 1176367178 1039974352
QUERY 53467643 85711886 592067639
QUERY 2014795739 1621091572 2031115261
QUERY 196272032 80605428 1664872909
QUERY 909593817 755044023 410631022
QUERY 2143462110 985062609 402909846
QUERY 983097479 2082505324 777180637
QUERY 1223400820 810098878 1581236575
QUERY 775279266 1516889338 821066695
QUERY 347435968 1884359543 291275347
QUERY 1604858324 914913271 1319950741
QUERY 509199466 181543141 1527749692
QUERY 909593817 755044023 410631022
QUERY 2013438674 1455740652 1772092654
QUERY 2130008773 2052758064 2122120242
QUERY 1628843015 1176367178 1039974352
QUERY 1180543372 432941311 1225958753
QUERY 317820418 611910564 2066495821
QUERY 507944983 48431477 1052679123
QUERY 1225494984 1747517740 755833443
QUERY 131167203 1480643782 2071239066
QUERY 2021178313 528296470 805197810
QUERY 124057150 1734396817 559169467
QUERY 53467643 85711886 592067639
QUERY 1080963337 1151310861 401833719
QUERY 69487491 1312484148 741272343
QUERY 970610666 211746160 1053605263
QUERY 584001167 2110523025 2011130881
QUERY 2094343582 1358213536 1489704166
QUERY 2130008773 2052758064 2122120242
QUERY 78647149 92945559 1738370160
QUERY 1220650703 757123655 238855656
QUERY 1673966904 181872903 730902671
INSERT 1154809838 1690792875 1269882759
QUERY 1432068580 1105568932 441107903
QUERY 1799321439 1735696795 1804486610
QUERY 533117856 915401274 1231763612
QUERY 53467643 85711886 592067639
QUERY 1750467441 1999630502 617708265
QUERY 2130008773 2052758064 2122120242
QUERY 1227078319 1145347052 27302960
QUERY 539956701 990051133 25702313
QUERY 276613045 264137761 1842303720
QUERY 884590459 1918713090 1430377247
QUERY 1616782276 1375213319 1050467762
QUERY 970610666 211746160 1053605263
INSERT 654956399 952600291 1914009352
QUERY 993604023 1675767745 617338718
QUERY 1750210611 1802046628 634140696
QUERY 1900101012 950475700 1924481923
QUERY 654956399 952600291 1914009352
QUERY 1849427913 2146854556 1453472771
QUERY 1978804219 720764857 1659113679
QUERY 564230801 958680062 1990794947
QUERY 490018747 282999573 902065334
QUERY 1996222642 1563604005 945122103
QUERY 876298128 1381158148 539512224
QUERY 102814299 733153960 224393779
QUERY 223764687 1959292078 2060993133
QUERY 1861895407 847324115 967971921
QUERY 1143361368 1951764179 1706979607
QUERY 1624846042 1370854710 1069472640
QUERY 1435218285 1774112122 374772060
QUERY 1080963337 1151310861 401833719
QUERY 129515585 1397469663 2075014693
INSERT 566068155 686937840 1057585091
INSERT 33620287 46255243 193989399
QUERY 661903723 847952241 196954251
QUERY 1808910256 1298674326 702950373
QUERY 844201516 320112056 1892029221
QUERY 884590459 1918713090 1430377247
QUERY 171449105 893689247 1232524930
QUERY 1919462770 327327208 1939335042
QUERY 1841370924 1445692869 1986543080
QUERY 1534496053 1584763866 973617240
QUERY 776852357 466879125 1194645006
QUERY 969102436 1270159143 1614394360
QUERY 1480715314 1691157397 2113333139
QUERY 272549458 582523254 1218243434
QUERY 410313699 97372445 461411200
QUERY 2136478854 750785388 1588278387
QUERY 1750467441 1999630502 617708265
QUERY 1669053156 1001515854 1757430151
QUERY 396937684 1655405093 890488652
QUERY 1240369712 1368044146 40531427
QUERY 2043847435 611999659 2128571670
QUERY 1342123105 1806708355 272368716
QUERY 1090034420 1562739316 1839120669
QUERY 1549039785 1371928984 991976116
QUERY 654956399 952600291 1914009352
QUERY 1748347645 907103182 1150540372
QUERY 63759698 415016025 1455853774
QUERY 64096532 1914053033 1730319506
QUERY 1714568098 1965535246 921915364
QUERY 1562836752 569516326 558501769
INSERT 843716687 1070961334 132003968
QUERY 970610666 211746160 1053605263
QUERY 909593817 755044023 410631022
INSERT 1241929554 1865616202 1274441025
QUERY 611288945 614396213 716940405
QUERY 1589405075 1471986081 726802078
QUERY 2140416764 2052274640 106812458
QUERY 950529146 1622396219 477172800
QUERY 1969856053 841102655 193362573
QUERY 1822802617 1464967418 1895954821
QUERY 1154809838 1690792875 1269882759
QUERY 509199466 181543141 1527749692
QUERY 1900101012 950475700 1924481923
QUERY 250096990 1273559139 1772207790
QUERY 937921974 1818751057 1027142627
QUERY 396284460 1692934578 591056069
QUERY 334449340 2022557520 1269641477
INSERT 334081190 835509461 1521704686
QUERY 1628843015 1176367178 1039974352
QUERY 1090034420 1562739316 1839120669
QUERY 970610666 211746160 1053605263
QUERY 1002392110 2093926642 1146230928
QUERY 356896757 631866126 479258898
QUERY 1137673577 1841007058 1356165488
QUERY 72186129 1499017297 1858832237
QUERY 1063097054 662765337 1514529591
INSERT 1767901795 385177957 1014615179
QUERY 1290098531 552243047 95152128
QUERY 1184437759 1101292820 174014913
QUERY 653273811 988214804 875537533
QUERY 490018747 282999573 902065334
QUERY 1481015881 284387709 1296682796
QUERY 950903067 1453975070 1557781161
QUERY 1481015881 284387709 1296682796
QUERY 709497272 1878093628 2001331371
QUERY 1538063720 704756528 506090388
QUERY 645625242 1893055561 911802522
QUERY 2066657844 1309343367 2351186
QUERY 1900101012 950475700 1924481923
QUERY 1147921517 978009836 1174044218
QUERY 1289999769 271434996 1540990542
QUERY 603955322 1290534619 1005024770
QUERY 1920072509 1412943588 435175762
QUERY 747777601 1378600879 1222629157
QUERY 384488876 1469685735 2058679834
QUERY 960238674 1431668374 1667397289
QUERY 1602515648 218825600 1237514099
QUERY 915360774 1315879381 1824977361
QUERY 854901487 82131161 1736419754
QUERY 24111868 708977816 1301350532
QUERY 376496041 91740370 1237870124
QUERY 1149066310 1699340803 2027605854
QUERY 1961263587 266723311 1444378495
QUERY 2011005621 790459741 699320983
QUERY 689778802 1603304345 565609197
QUERY 1819114272 1672248171 907242393
QUERY 684222463 1054721895 879068837
QUERY 970809207 1862187635 44719205
QUERY 1744060008 264873871 825591635
QUERY 1600113553 647616055 1343857908
QUERY 1501661457 1817794271 672896699
QUERY 1819114272 1672248171 907242393
QUERY 1401411201 378495967 1681573162
QUERY 413158351 562467528 716952150
QUERY 761671356 1768719224 1140941814
QUERY 1966533449 938349606 1698502814
QUERY 958900290 673840486 365255253
QUERY 852535323 1614175025 1183504211
QUERY 86169325 1635041267 503262926
QUERY 37352441 1425730543 1299271449
QUERY 2016223599 1834478351 117885940
QUERY 1258827754 988659024 1341823376
QUERY 892842542 349557261 1365490643
QUERY 94564806 430808288 669898980
QUERY 909593817 755044023 410631022
QUERY 328317428 794336156 139383479
QUERY 884590459 1918713090 1430377247
QUERY 356262777 1760786873 2065974126
QUERY 1137673577 1841007058 1356165488
QUERY 1819785174 103943610 431466218
QUERY 526031024 1890829432 1858715084
QUERY 1240369712 1368044146 40531427
QUERY 1628843015 1176367178 1039974352
QUERY 720157231 1417741823 1347979167
QUERY 418197314 1363627984 965468896
QUERY 251919489 930259201 1942006774
QUERY 1156297986 1134409811 520024957
QUERY 1389173777 1961066655 1998072936
QUERY 842514741 108513826 1972293704
QUERY 1819114272 1672248171 907242393
QUERY 1077082786 343655945 770470203
QUERY 1154809838 1690792875 1269882759
QUERY 773795341 1825687315 651846489
QUERY 2108851734 306331371 1395161339
QUERY 1240369712 1368044146 40531427
QUERY 1111695280 760657957 1583657600
QUERY 509199466 181543141 1527749692
QUERY 1960195647 1633062182 1934584897
QUERY 843716687 1070961334 132003968
QUERY 439707298 935369187 1756364928
QUERY 788794744 24864182 1636182422
QUERY 1949363425 775252893 1848705893
QUERY 1284879845 2133784164 2121378863
QUERY 981309862 1191103110 539766035
QUERY 566068155 686937840 1057585091
QUERY 129515585 1397469663 2075014693
QUERY 913163432 1815125948 682241155
QUERY 301564353 494600389 636967122
QUERY 1819114272 1672248171 907242393
QUERY 1786171607 872695281 1410119329
QUERY 1012478747 1470352357 791080224
QUERY 1480715314 1691157397 2113333139
QUERY 2075931653 423999410 1755684104
QUERY 346403426 149358937 1394126769
QUERY 98975536 1696621037 1348382437
QUERY 1248695701 1400336816 408351861
QUERY 1281047143 1947555496 58667283
QUERY 33620287 46255243 193989399
QUERY 283121073 1694779385 1909764829
QUERY 1517965285 950395832 814735101
QUERY 1252825095 929895172 2060906480
QUERY 1316066381 207401828 1411510695
QUERY 1819862556 954714601 499279772
QUERY 1645329979 1725821157 1812633470
INSERT 827359955 264599733 1553655171
QUERY 1100950908 2048004013 759289885
QUERY 1709685717 1886981157 1310331177
QUERY 1278015121 227423729 1821983669
QUERY 1750467441 1999630502 617708265
QUERY 1818590891 394360326 1711815676
QUERY 1760394669 701576379 324919136
QUERY 1062750248 262265677 1137988968
QUERY 1818426886 675197669 656582373
QUERY 396079882 252276417 1156466693
QUERY 33620287 46255243 193989399
QUERY 2013438674 1455740652 1772092654
QUERY 364389278 2108156859 1411742342
QUERY 515329586 2014980504 545164281
QUERY 315587154 1946907995 82702228
INSERT 474622016 739284601 1075959281
QUERY 1328235698 1868488448 1463874437
QUERY 1466884411 540449335 776127554
QUERY 475013097 1580446126 1242921099
QUERY 1520090462 240919972 1216094242
QUERY 1761258524 1918936612 606782740
QUERY 133664075 379552732 1895582359
QUERY 991851704 757521081 416650406
QUERY 720191855 714128428 1487174782
QUERY 1424096679 212065010 1608347059
QUERY 247652618 264177967 1387902585
QUERY 827359955 264599733 1553655171
QUERY 837072841 1248222376 1660022435
QUERY 319568668 1606585914 1532742671
QUERY 37156730 155593347 2091038082
QUERY 1154809838 1690792875 1269882759
QUERY 90005397 709974857 1249117424
QUERY 1979609758 1517953069 1711442574
QUERY 209382333 1383202040 439988018
QUERY 118443968 1326551549 182001794
QUERY 1062750248 262265677 1137988968
QUERY 810111646 1359212585 1595054177
QUERY 1447199249 418883145 706476506
QUERY 1094719078 1904780101 1187371678
QUERY 1090034420 1562739316 1839120669
QUERY 2122534208 1394634768 1797257246
QUERY 2108851734 306331371 1395161339
QUERY 1616558363 567778743 1690246986
QUERY 1443116253 876271165 2104640787
QUERY 1181883236 2025617943 960540637
QUERY 2122045911 1189894676 1977575677
QUERY 964116999 1847271132 319032181
QUERY 294082741 222700848 706830311
QUERY 336596497 257770102 419697474
QUERY 1700548969 1209537701 178265668
QUERY 897388920 1673477664 1690249862
QUERY 698333664 1230476932 1458251532
QUERY 147494628 224277089 964446872
QUERY 746890102 717232402 1654973637
QUERY 162378556 1687951596 885832174
QUERY 1481015881 284387709 1296682796
QUERY 39186981 239493610 1823057910
QUERY 970610666 211746160 1053605263
QUERY 884590459 1918713090 1430377247
QUERY 1245997331 170889777 742250049
QUERY 1019012444 1453795263 1488248307
QUERY 909593817 755044023 410631022
QUERY 299335829 1852448943 800277256
QUERY 441554605 1978896073 1973868117
QUERY 24177609 1729578664 504234711
QUERY 1895040313 1467041940 1532847941
QUERY 1066662531 5951138 2060898892
QUERY 1501661457 1817794271 672896699
QUERY 654956399 952600291 1914009352
QUERY 555708298 992149180 1608458820
QUERY 884590459 1918713090 1430377247
QUERY 1316205045 569941060 1261427600
QUERY 1954758254 366196786 1749014167
QUERY 511328007 741210871 1066717206
QUERY 306441575 1362212555 1536507417
QUERY 832592405 709365267 1256259158
QUERY 1807292971 698783195 607906142
INSERT 186751512 604144920 1317042799
QUERY 1080963337 1151310861 401833719
QUERY 1561048041 713920044 753064527
QUERY 266360183 856688497 2136272941
QUERY 509199466 181543141 1527749692
QUERY 1396869408 563269886 1092327719
QUERY 1601295509 165454241 1125661567
QUERY 1954758254 366196786 1749014167
QUERY 1630577613 154408967 241472403
QUERY 1120650279 1588851600 1881989734
QUERY 1387237571 920132969 2005964435
QUERY 722224001 276173404 1802710070
QUERY 747554141 477254679 1266321663
QUERY 244499582 263084005 723971594
QUERY 1412242518 427838907 2026232398
QUERY 666576863 456350518 832029719
QUERY 1268568532 1347592167 1578094175
QUERY 2123590098 1460965471 1928296955
QUERY 539956701 990051133 25702313
QUERY 233203168 735622509 1000864185
QUERY 180712394 1596358262 2011973404
QUERY 1525160019 1539930491 1461234210
QUERY 707247310 2114560841 2146636170
QUERY 1325563578 260598455 89566561
QUERY 304820892 590345402 186147303
QUERY 1090034420 1562739316 1839120669
QUERY 654956399 952600291 1914009352
QUERY 1521140464 489509401 31451900
INSERT 2060661082 1403566392 734212932
QUERY 1441460242 1162785749 1293926620
QUERY 493187662 520794952 1527811404
QUERY 2118156806 1084668961 1382716591
QUERY 970610666 211746160 1053605263
QUERY 145470910 84638592 762920381
QUERY 794372281 2443867 487325428
QUERY 909593817 755044023 410631022
QUERY 1760394669 701576379 324919136
QUERY 743508855 329611668 1883381416
QUERY 820566730 804357642 1977495280
QUERY 782538120 887809868 136889065
QUERY 539956701 990051133 25702313
QUERY 1965350909 696737909 153974638
QUERY 1569472220 942382229 1216870817
QUERY 1767901795 385177957 1014615179
QUERY 241586192 1857419228 1592478224
QUERY 2013438674 1455740652 1772092654
QUERY 1950023098 164571168 1412027218
QUERY 2089333043 1541761464 961811485
QUERY 385936040 1989297582 1670026722
QUERY 1092015294 925471374 97438528
QUERY 1537023248 134464872 483472488
QUERY 654956399 952600291 1914009352
QUERY 1090034420 1562739316 1839120669
QUERY 632310741 1107456547 1033460741
QUERY 474622016 739284601 1075959281
QUERY 1113056973 616746341 1424061963
INSERT 1986989543 1595111785 1019711615
QUERY 1475888161 387454222 349721785
QUERY 1900101012 950475700 1924481923
QUERY 1289999769 271434996 1540990542
QUERY 427232133 551161443 1644261081
QUERY 1376934939 1387066871 1077908489
QUERY 913439158 210159403 889385953
QUERY 886482775 232383188 629329754
QUERY 1648827662 820852121 1087607827
QUERY 53467643 85711886 592067639
QUERY 1655946593 914776806 2091132360
QUERY 1240369712 1368044146 40531427
QUERY 1480715314 1691157397 2113333139
QUERY 1430035359 488723312 1174189457
QUERY 1137673577 1841007058 1356165488
INSERT 2013669811 220672658 36231713
QUERY 1651516796 1609144325 922929582
QUERY 1868320008 1054486684 2006665210
QUERY 568619491 1135519791 1613898446
QUERY 1120467092 1805496986 315557975
QUERY 186751512 604144920 1317042799
QUERY 1062750248 262265677 1137988968
QUERY 1900101012 950475700 1924481923
QUERY 761904949 723949238 1006925685
QUERY 2060661082 1403566392 734212932
QUERY 550239260 6742516 1917598967
QUERY 865804604 2131475160 139529541
QUERY 437718432 1163575846 580345765
QUERY 1022654173 1348035282 96509133
QUERY 1354380934 445953658 320043143
QUERY 1326968828 2030659840 2069406346
QUERY 940629071 921503913 415035220
QUERY 106691617 991108170 1582201643
INSERT 1350402729 1730571003 2041563432
QUERY 1232933528 1851367492 884563560
QUERY 1485356755 369752391 2011374642
QUERY 639359615 170095670 1541176299
QUERY 1220658657 1510965983 1625070410
QUERY 700677066 902726623 824063650
QUERY 1240369712 1368044146 40531427
QUERY 1842075905 612151206 281196405
QUERY 1241929554 1865616202 1274441025
QUERY 787807913 183940364 200223673
QUERY 1819114272 1672248171 907242393
QUERY 537867054 597819706 1876283486
QUERY 272433432 936798181 1573570214
QUERY 554230754 1290734955 1107452518
QUERY 2060661082 1403566392 734212932
QUERY 2108851734 306331371 1395161339
QUERY 1628843015 1176367178 1039974352
QUERY 67054468 116055668 598398685
QUERY 451840146 1000753415 633586924
QUERY 1205352468 581853726 221628641
QUERY 890555113 2125355140 1874396784
QUERY 1681357009 551937218 1363987655
QUERY 2108851734 306331371 1395161339
QUERY 244659422 923571926 1408487298
QUERY 827359955 264599733 1553655171
QUERY 1659319955 1373917764 882118031
QUERY 682283283 2077506929 219240546
QUERY 1109795659 83795513 240598246
QUERY 1772896810 414104437 1256814300
INSERT 564009694 153312168 775121236
QUERY 1290566611 409390725 1013916483
QUERY 1039234729 1987179329 1812722844
QUERY 1039156960 1802717377 1644438868
INSERT 337517012 1574462150 665471606
QUERY 1775267266 527236546 181261858
QUERY 1983787089 2008084433 1080606070
INSERT 1698110147 1124379133 1155181896
QUERY 1828012524 1695429323 1573558734
QUERY 832857328 117356471 2118362523
QUERY 654956399 952600291 1914009352
QUERY 1769127104 1031203858 983571957
QUERY 1776867386 2015056543 323724423
QUERY 1767901795 385177957 1014615179
QUERY 495372548 403638608 1241734259
QUERY 922263135 117991072 1039645836
QUERY 1085469744 1433192236 409870557
QUERY 1986989543 1595111785 1019711615
QUERY 1137673577 1841007058 1356165488
QUERY 2064679924 1474649927 1751898723
QUERY 2008632983 328663659 953243781
INSERT 274552622 494784267 1900812688
QUERY 323374436 144278332 511298013
QUERY 1062750248 262265677 1137988968
QUERY 1212004565 412060131 297555637
QUERY 729810454 874529878 617185871
QUERY 1767901795 385177957 1014615179
QUERY 466793511 1066663187 1197851613
QUERY 1950359181 1995002929 1751116166
QUERY 2060661082 1403566392 734212932
QUERY 922743745 667402876 503007272
QUERY 63258388 29165042 54727975
QUERY 1170062048 594963787 566465232
QUERY 30203018 1673339219 269759045
QUERY 1794407912 1738047163 972027291
QUERY 2035860953 571776763 1315662454
QUERY 230767232 1369221772 1680781298
QUERY 1784588881 1257539147 1381713492
QUERY 1805256627 1085743740 712298898
QUERY 1767901795 385177957 1014615179
QUERY 93485241 111928900 270707320
QUERY 509199466 181543141 1527749692
QUERY 604774419 1302369499 1087783652
QUERY 1825370565 1983252238 578072324
QUERY 1501015794 1570137156 2018474039
QUERY 1289999769 271434996 1540990542
QUERY 686519146 1497996352 932292186
INSERT 1585957420 1025777427 900258240
QUERY 1642628892 717382963 1272281985
QUERY 1760394669 701576379 324919136
INSERT 549574439 1587474142 6698138
QUERY 186751512 604144920 1317042799
QUERY 754926687 1883330416 1935301302
QUERY 102858835 1196878981 1358519968
QUERY 474622016 739284601 1075959281
QUERY 1336999145 1139543954 923386613
QUERY 1412074371 1794585247 920267660
QUERY 1469842099 1394764334 2130094606
QUERY 1137673577 1841007058 1356165488
QUERY 828221657 1945509591 1964410283
QUERY 1062750248 262265677 1137988968
